energy_eV,mu
8782.347,0.90849
8792.351,0.88961
8802.377,0.88487
8812.386,0.88032
8822.417,0.87581
8832.431,0.87096
8842.467,0.86691
8852.485,0.86231
8862.484,0.85778
8872.507,0.85331
8882.553,0.84887
8892.579,0.84469
8902.586,0.84056
8912.616,0.83664
8922.627,0.83326
8932.618,0.83015
8933.133,0.82999
8933.605,0.83019
8934.077,0.82994
8934.55,0.82981
8935.065,0.82969
8935.538,0.82958
8936.011,0.82956
8936.526,0.82933
8936.998,0.82919
8937.471,0.82917
8937.944,0.82893
8938.417,0.82882
8938.976,0.82867
8939.406,0.82886
8939.878,0.82858
8940.352,0.8285
8940.91,0.82849
8941.384,0.82827
8941.814,0.82821
8942.287,0.82812
8942.847,0.8279
8943.319,0.82796
8943.793,0.82792
8944.224,0.82787
8944.74,0.82783
8945.214,0.82773
8945.688,0.82791
8946.161,0.82765
8946.678,0.82764
8947.151,0.82769
8947.626,0.82767
8948.1,0.8277
8948.573,0.82776
8949.09,0.82754
8949.564,0.82755
8950.038,0.82757
8950.513,0.82777
8950.987,0.8277
8951.504,0.82758
8951.979,0.82783
8952.453,0.82765
8952.927,0.82775
8953.444,0.82796
8953.919,0.82789
8954.394,0.82822
8954.868,0.82834
8955.343,0.82816
8955.86,0.82841
8956.336,0.82847
8956.811,0.82861
8957.285,0.82899
8957.761,0.82914
8958.278,0.82947
8958.753,0.82951
8959.229,0.82982
8959.703,0.83008
8960.179,0.83037
8960.654,0.83069
8961.172,0.83106
8961.647,0.83149
8962.123,0.83196
8962.599,0.83245
8963.074,0.8329
8963.593,0.83359
8964.068,0.83441
8964.544,0.8351
8965.02,0.83569
8965.496,0.83654
8965.972,0.83761
8966.49,0.83893
8966.967,0.83991
8967.442,0.84146
8967.919,0.84297
8968.395,0.84401
8968.914,0.846
8969.39,0.84807
8969.866,0.85025
8970.343,0.85326
8970.819,0.85569
8971.296,0.8605
8971.772,0.8633
8972.292,0.86853
8972.769,0.87348
8973.245,0.88217
8973.722,0.89092
8974.198,0.90185
8974.675,0.9216
8975.238,0.94407
8975.715,0.96747
8976.192,1.01618
8976.626,1.10479
8977.103,1.23594
8977.58,1.47038
8978.057,1.65671
8978.621,1.84163
8979.055,1.87873
8979.531,1.91096
8980.009,1.90556
8980.486,1.88218
8980.964,1.85729
8981.441,1.84364
8981.962,1.85964
8982.44,1.88395
8982.918,1.93022
8983.396,1.98216
8983.873,2.0248
8984.352,2.06056
8984.829,2.09961
8985.307,2.16109
8985.828,2.20592
8986.307,2.26872
8986.784,2.34122
8987.263,2.44319
8987.741,2.52091
8988.219,2.62976
8988.697,2.73854
8989.176,2.81665
8989.741,2.91936
8990.22,3.00789
8990.698,3.09492
8991.133,3.14641
8991.611,3.19118
8992.09,3.19892
8992.568,3.18457
8993.048,3.16211
8993.526,3.12426
8994.049,3.08078
8994.527,3.04487
8995.007,3.00439
8995.485,2.9697
8995.965,2.95024
8996.444,2.93721
8996.924,2.93096
8997.402,2.9395
8997.882,2.95954
8998.361,2.99212
8998.884,3.05879
8999.363,3.10314
8999.843,3.14804
9000.323,3.1902
9000.803,3.2325
9001.281,3.24991
9001.762,3.24604
9002.241,3.22726
9002.721,3.19269
9003.201,3.16299
9003.681,3.12856
9004.161,3.08747
9004.685,3.03943
9005.165,3.0171
9005.645,2.98068
9006.125,2.95844
9006.605,2.93435
9007.086,2.91481
9007.566,2.88729
9008.047,2.86789
9008.526,2.84798
9009.007,2.8343
9009.487,2.8259
9009.969,2.82384
9011.062,2.83381
9012.153,2.84811
9013.29,2.8743
9014.428,2.90179
9015.565,2.95247
9016.746,3.00286
9017.928,3.04263
9019.154,3.10012
9020.38,3.15615
9021.606,3.20026
9022.877,3.23445
9024.191,3.23865
9025.507,3.20509
9026.822,3.14742
9028.183,3.0861
9029.543,3.0171
9030.903,2.96699
9032.309,2.93123
9033.759,2.90731
9035.164,2.90216
9036.659,2.91212
9038.109,2.93469
9039.604,2.95607
9041.145,2.96209
9042.686,2.95199
9044.227,2.94195
9045.812,2.94873
9047.397,2.97507
9049.029,3.00219
9050.66,3.00924
9052.292,3.00363
9053.969,3.00596
9055.646,3.02752
9057.368,3.05932
9059.091,3.08685
9060.814,3.10424
9062.627,3.12216
9064.44,3.1453
9066.166,3.17707
9067.981,3.21074
9069.842,3.23666
9071.702,3.23803
9073.563,3.21296
9075.47,3.16091
9077.377,3.09148
9079.329,3.03406
9081.283,2.9894
9083.282,2.94918
9085.237,2.92847
9087.282,2.92332
9089.283,2.9012
9091.33,2.84872
9093.423,2.79861
9095.516,2.76338
9097.654,2.75598
9099.75,2.77611
9101.891,2.81292
9104.033,2.85878
9106.221,2.91148
9108.454,2.96183
9110.644,2.9926
9112.924,2.99887
9115.16,2.98323
9117.488,2.96422
9119.728,2.95922
9122.057,3.00005
9124.389,3.09705
9126.765,3.21841
9129.144,3.27907
9131.567,3.28154
9133.993,3.25247
9136.421,3.22374
9138.85,3.18948
9141.279,3.1294
9143.756,3.0478
9146.278,2.94642
9148.803,2.84065
9151.328,2.73626
9153.899,2.64594
9156.519,2.58915
9159.094,2.58269
9161.716,2.63014
9164.384,2.71639
9167.009,2.81473
9169.726,2.912
9172.399,2.9733
9175.119,3.00647
9177.842,2.99949
9180.61,2.9611
9183.381,2.92748
9186.198,2.91024
9188.973,2.90267
9191.84,2.87473
9194.663,2.83653
9197.533,2.82878
9200.451,2.87603
9203.326,2.96919
9206.293,3.06319
9209.217,3.0933
9212.188,3.09586
9215.161,3.07888
9218.183,3.03742
9221.206,2.96227
9224.23,2.87061
9227.304,2.78479
9230.379,2.7201
9233.456,2.68045
9236.581,2.66168
9239.755,2.66799
